Movie_actor_3_credit,Director_Other_Awards,Movie_ratings
26,83,6.4
42,81,7.8
68,88,7.1
115,14,8.1
10,15,6.9
34,90,8.2
32,93,7.4
74,15,5.2
40,2,6.2
31,15,6.8
15,7,5.2
106,80,7.1
82,7,5.4
51,148,6.4
44,38,6.6
11,0,4.1
27,15,5.7
36,2,6.5
36,1,6.5
94,0,4.3
60,5,5.9
27,2,7.7
35,0,4.2
47,9,4.3
33,8,6.9
44,14,4.7
201,1,5.7
12,1,4.1
36,11,6.1
28,2,5.7
99,4,5.3
17,55,6.8
58,25,7.3
49,7,5
29,14,7.1
21,12,5.3
12,46,8.1
68,32,6.4
38,5,6.6
34,8,6.3
25,71,8.1
51,9,7.4
27,11,8.5
84,120,8
91,78,7.3
133,6,8.3
48,1,4.3
63,0,4.3
51,15,6.2
61,44,8
78,37,6.9
57,1,7.1
23,33,6.9
61,0,4.7
40,6,5.5
48,1,4.3
78,7,6.7
21,0,4.4
16,15,7.7
91,8,7.3
96,0,5.4
81,87,6
104,18,5.4
155,24,8.7
86,34,7.1
65,136,7.4
78,56,5.6
12,78,6.9
41,84,7.9
55,89,7.9
10,72,7
18,78,7.6
40,105,7.7
78,92,7.8
139,102,8
114,137,8.6
82,1,6.8
65,44,6
43,89,7.8
94,77,6.7
21,41,5.7
93,63,6.2
36,58,6.6
41,78,6.2
71,56,6.1
62,11,7.5
93,26,6.3
48,4,6.7
65,2,5.5
98,91,6.1
33,0,6.3
11,73,7.2
19,1,6.4
95,56,7.2
66,0,5.5
18,2,6.8
112,68,8.1
31,33,6.2
39,10,6.8
105,8,6.4
80,5,7
156,136,7.8
75,4,7.2
72,14,6.3
31,6,7
36,25,7.7
91,18,6.2
61,35,7.2
33,97,6.9
64,0,5.3
75,12,7.4
119,8,6.9
78,19,6.4
18,2,5.8
29,0,6.4
58,5,7.5
134,16,7.9
24,15,5.6
26,14,6.6
78,0,4
167,11,7.6
66,0,7.2
74,231,7.7
44,0,5.3
27,29,6.6
157,5,8.2
43,166,5.3
40,0,4.3
28,3,5.8
174,6,7.6
76,4,5.4
12,4,5.2
4,0,4.4
70,22,7.6
49,1,7.3
31,5,6.7
189,121,8.4
44,34,6.6
153,25,8
37,7,6.8
14,7,6.9
76,3,5.8
35,55,7.7
84,6,7.1
5,2,6.1
163,19,7.7
17,2,5.7
170,27,8.7
43,7,6.8
19,16,7.3
19,18,5.5
166,3,7.2
74,102,7.9
43,44,7
133,147,8.4
90,2,6.6
123,138,7.4
159,4,7.1
33,1,6.6
72,7,7.1
54,3,6.7
63,6,5.6
36,3,7.1
25,8,7.2
36,0,4.8
150,6,7.2
67,3,5.9
64,11,5.9
136,167,7.3
38,35,7.6
38,3,6.4
42,2,6.3
22,2,5.4
74,9,7
76,1,7
54,17,6.6
38,36,6.1
19,3,5.5
93,9,6.2
166,154,7.5
63,5,7.7
115,33,8
213,4,8.9
41,0,4.4
71,32,7.4
134,1,6.9
206,8,8.8
93,22,6.6
68,148,7.3
42,3,7.3
87,8,7.5
36,30,5.8
26,0,4.4
17,4,7.1
23,112,7.6
62,2,7.6
58,49,7.8
23,2,5.7
60,6,6.2
57,0,4.1
15,20,6.4
45,0,4.3
55,1,6.4
60,0,5.2
45,1,3.3
30,6,6
86,5,6
17,2,5.7
147,148,7.2
72,37,5.3
56,5,6.4
16,3,5.8
138,1,7.7
60,44,5.3
31,27,6.4
56,0,5.8
80,28,8.3
166,13,6.6
152,8,7
112,0,5.3
44,8,8.1
150,137,8.8
71,0,6.1
64,23,6.3
79,1,5.8
224,1,8.5
12,1,5.8
43,47,5.4
155,11,8.1
63,0,4.9
83,2,5.5
135,31,6.6
40,56,6
79,5,6.9
157,38,8.4
27,7,4.5
70,6,5.9
61,6,6.8
81,35,4.2
156,14,7.5
26,0,4.3
46,61,6.1
155,166,8.2
68,1,6.9
20,1,4.6
61,1,5.9
89,4,5.5
78,59,6.2
37,4,5
22,22,7.6
54,69,7.8
96,15,7.6
13,9,6
18,9,6.5
31,19,5.8
94,34,7.2
207,0,5.2
68,1,5.8
66,4,6
18,29,6.6
236,37,8.7
137,20,7.3
206,5,8.1
39,11,7.1
143,18,7
155,4,7.3
89,64,6.7
25,1,5.3
31,124,6.7
16,27,6.9
200,2,8.1
95,8,7.6
76,6,6.5
131,1,8.2
41,6,6.8
81,3,5.4
86,16,6.3
140,156,8.3
30,6,4.5
14,58,7.2
154,0,4.3
35,1,5.5
103,10,8.7
98,9,7.7
127,7,7.8
150,131,7.3
